,genename,bianyileixing,count,uuid
216,ACE,nonframeshift deletion,3,3ed7e843-604e-4639-a78d-d21bd259b802
217,ACE,nonsynonymous SNV,15,b51781f8-8e62-45f6-8a6e-81324edbde98
218,ACE,stopgain,9,4c9d4e72-52de-43d9-adc4-d4a00e60d8d9
219,ACHE,nonsynonymous SNV,2,fd3a904c-df7f-43ed-8c39-94caee17d6d1
220,ACKR1,frameshift deletion,2,f362db91-b73a-4a04-9746-2002ca293f40
221,ACKR1,nonsynonymous SNV,3,ec8fee85-77dc-455c-9464-58dd287e156c
222,ACKR1,stopgain,3,3e3beb23-6ab5-44e2-8033-bed07e37e8f3
223,ACKR2,nonsynonymous SNV,2,8e9e7e0f-5949-4395-949c-252727607eea
224,ACLY,nonsynonymous SNV,2,3a3f7891-7727-4ee5-bf3d-a34cc34686e5
225,ACMSD,synonymous SNV,1,dd9c78e9-c248-47f1-bf43-f4aee239912c
226,ACO1,nonsynonymous SNV,1,f5c6c6ef-27ab-4057-abed-429d4e75ca5b
227,ACO2,frameshift deletion,2,a9fb0fbd-ee29-4547-8a1d-c947bdb4cefe
228,ACO2,nonsynonymous SNV,9,b4599a4d-5374-4572-b214-a881e5b4640f
229,ACO2,stopgain,1,0565d591-9796-47e8-96a4-9bee6f66dc13
230,ACOT4,nonsynonymous SNV,1,1ded89a5-97de-4c90-92f9-21612b5fd536
231,ACOX1,frameshift deletion,4,e2386551-88f7-4e93-bc33-7e45cedb7b88
232,ACOX1,frameshift insertion,1,38a1e75d-b5db-42c1-9db5-b0700b8679f2
233,ACOX1,nonframeshift deletion,2,cbef6623-cba3-476f-b677-0c2255755d99
234,ACOX1,nonsynonymous SNV,6,8c49dbd7-dfc4-4b8f-addf-241bf300bd4a
235,ACOX1,stopgain,4,f35142e2-cb23-4c03-b452-705cd7b1b9e4
236,ACOX2,stopgain,1,2fe26f03-95cb-4ab4-9b0d-0e17fa038866
237,ACP5,frameshift deletion,1,6083840c-2234-48e3-b40e-dd28a2bdbf0a
238,ACP5,frameshift insertion,1,f3958674-796f-4c7d-b9c2-93b5b0b4dfa9
239,ACP5,nonframeshift deletion,1,918e931b-b01c-4e9c-a71f-97f1a8f68d2d
240,ACP5,nonsynonymous SNV,13,7d487c77-ed56-43fc-b541-d1ba7bd70c6e
241,ACP5,stopgain,5,63e15790-37dd-4840-92e8-c514cdfa9f57
242,ACSL4,nonsynonymous SNV,3,6cc6a7ca-028f-4eea-8794-71a4723de602
243,ACSL4,stopgain,1,4268d946-b126-4008-9f8f-686fadd99e51
244,ACSM2B,nonsynonymous SNV,1,77fa8cb5-c598-45d7-ba72-acf2244a03fb
245,ACSM3,nonsynonymous SNV,1,290454de-da03-4635-9496-b214ccf31b96
246,ACSS2,nonsynonymous SNV,1,f6486248-cb8f-4cab-afc0-f4ba17c76751
247,ACTA1,frameshift deletion,5,8fc4660c-e320-47ff-b143-3ad7410da623
248,ACTA1,nonframeshift deletion,1,3997862c-5a7d-4b98-8b12-b5a59129955d
249,ACTA1,nonframeshift insertion,1,ab0c85af-fbaa-4158-883a-df8e51ea308f
250,ACTA1,nonframeshift substitution,2,445c720f-7586-4801-b471-3a8c51880e23
251,ACTA1,nonsynonymous SNV,178,f81b5b07-f8b7-4383-b771-76129f3df9d6
252,ACTA1,stopgain,6,6cc19110-9012-42fa-9fa7-339a93e76986
253,ACTA1,stoploss,3,5d71197b-a232-4165-9fd9-a7316795d6d8
254,ACTA2,frameshift deletion,1,f61b425b-a8f5-4965-bedd-f465baabc26d
255,ACTA2,nonsynonymous SNV,65,9af7eecc-b0b4-4876-9259-394537a42c39
256,ACTA2,stopgain,1,4a91a6ee-a08d-4820-ad86-d2bf9ccbe8d4
257,ACTB,nonsynonymous SNV,21,fb26cf11-76e4-4e18-8800-6ab690abd0d5
258,ACTBL2,nonsynonymous SNV,1,3942115c-5261-4b1a-b9be-bd2c13be3a96
259,ACTC1,frameshift deletion,1,3e2c7810-d0b4-4ede-8383-cb4456c4bde7
260,ACTC1,nonframeshift deletion,1,4f5a1f4f-ec66-40d7-b725-23f0e3b78cf0
261,ACTC1,nonsynonymous SNV,32,6c8f03ff-07c0-4317-a2f7-18aa5cea6053
262,ACTG1,frameshift deletion,1,38006ae4-9ac2-43a2-aae3-747f0ebf11dd
263,ACTG1,nonsynonymous SNV,36,18396521-2926-4031-b897-a4d34bec01e7
264,ACTG2,nonframeshift substitution,1,f885aaf2-1260-4aae-b8ff-1b90a63d81b5
265,ACTG2,nonsynonymous SNV,15,e356eef2-7c5f-4e01-98bc-71107b8de47e
266,ACTL7B,nonsynonymous SNV,1,6ca3a4d3-2854-4f3d-8f51-5b52992cc93c
267,ACTN1,nonsynonymous SNV,24,cce82f11-5dd5-4f6a-91d5-7f46c6f81526
268,ACTN2,frameshift deletion,1,a5caa40d-a004-4161-8efc-73d4e6d3da8d
269,ACTN2,nonsynonymous SNV,8,d81e4f75-3d13-4aac-a7a5-a6e5058b0e1c
270,ACTN4,nonframeshift deletion,1,76118804-c747-4c21-8803-2c3c0a8a751a
271,ACTN4,nonsynonymous SNV,20,a7817036-1ec8-4ce7-9399-3680931c3606
272,ACVR1,nonframeshift deletion,1,10691795-9d12-42ac-a9f5-71038113f47a
273,ACVR1,nonsynonymous SNV,17,ff316db2-7356-4297-a804-8af96251db1f
274,ACVR2B,nonsynonymous SNV,2,36a35a1b-aa21-48d1-aaac-b7a5bae56a24
275,ACVRL1,frameshift deletion,59,09b6c692-43b7-4f72-9347-f6e53a22b9b9
276,ACVRL1,frameshift insertion,31,cccb3092-3af9-41c8-bf7c-eeb15864b3f1
277,ACVRL1,frameshift substitution,3,5176df85-3539-4f5d-8b36-e3c792531887
278,ACVRL1,nonframeshift deletion,13,143b89da-1d1f-4359-a4a4-4205c19b09de
279,ACVRL1,nonframeshift insertion,2,605869f2-e33a-4f20-8dc5-d36f4c34f8fc
280,ACVRL1,nonframeshift substitution,3,a3d60dbc-5440-4c86-b4db-760f53e4ac33
281,ACVRL1,nonsynonymous SNV,214,86209535-9185-4329-a5eb-b202ddd15f3a
282,ACVRL1,stopgain,39,6ef3dffa-d8d3-4ed4-9e74-c2bbbb2131fb
283,ACVRL1,synonymous SNV,2,3d6c1b46-4f98-42a3-af86-eeb77667b541
284,ACY1,frameshift deletion,1,7f2c2cc5-a7d2-4d8f-a7bc-3b6c436d1838
285,ACY1,frameshift insertion,2,7af4b624-dcfb-4c64-8695-a2f86721af1b
286,ACY1,nonsynonymous SNV,8,57790a7c-0af1-4cc1-bba3-9ac2577c7335
287,ADA,frameshift deletion,6,5a537b41-e546-4d38-bfb8-8aa2cf7a6a64
288,ADA,frameshift insertion,2,dbcd790e-a720-44e7-9a7c-f048e68b62f4
289,ADA,frameshift substitution,2,5b06c3be-3218-41fd-b3ad-8f37faec6560
290,ADA,nonframeshift deletion,1,dfb6444d-5297-459b-8fbe-7dc3419d9afb
291,ADA,nonsynonymous SNV,53,e771347f-280e-422e-8c9a-ff231642a841
292,ADA,stopgain,8,835b4b49-e375-4c9e-8e54-c4c54ea17f08
293,ADA2,frameshift deletion,1,7bc394cb-dec5-4089-b26d-9cd4d43ef89c
294,ADA2,frameshift insertion,1,7fa6ed20-fed9-4309-8c89-382438c3f1e4
295,ADA2,frameshift substitution,1,17470210-01a8-41e5-89ae-ed209bdb8317
296,ADA2,nonframeshift deletion,1,d29ef696-cd6d-470b-bb18-8f3e33326f91
297,ADA2,nonsynonymous SNV,21,f56554bb-b23b-4573-8fd2-384ce6a4f51d
298,ADA2,stopgain,2,98322b19-7f5d-44c9-a68b-b3d019fe3091
299,ADAM10,frameshift deletion,2,e836236f-3808-476d-8070-059897a4858f
300,ADAM10,frameshift substitution,1,64ecfbde-a318-4aa2-a440-5c739b3ba8eb
301,ADAM10,nonsynonymous SNV,5,f0edb657-975b-431e-9b62-0c6ab22efc2b
302,ADAM10,stopgain,1,252052d1-728d-415b-8a8c-263e37a6a682
303,ADAM12,nonsynonymous SNV,1,fed6ff60-4d8a-4871-b679-8b5b818b5497
304,ADAM17,frameshift deletion,1,1be5cf1a-108f-471a-9051-015d94e1f3ef
305,ADAM17,frameshift insertion,1,cbad7a80-f818-41d8-b453-9c8deb5caaea
